date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:06:18	1450/1450	---MCZ	404	error ('Not%20Found')	text/html	etag:1639563601-ssl-df	https://scoop-home.netlify.app/robots.txt		(from )
18:06:19	57836/57836	---MCZ	200	added ('OK')	text/html	etag:%2286b3a6128975adff8a54b81c8518021e-ssl-df%22	https://scoop-home.netlify.app/	C:/My%20Web%20Sites/scoop/scoop-home.netlify.app/index.html	(from )
18:06:19	33236/33236	---MCZ	200	added ('OK')	text/css	etag:%22945b5bb94ab837e1285a7a39d23d89b6-ssl-df%22	https://scoop-home.netlify.app/assets/css/style.css	C:/My%20Web%20Sites/scoop/scoop-home.netlify.app/assets/css/style.css	(from https://scoop-home.netlify.app/)
18:06:20	53592/53592	---MCZ	200	added ('OK')	text/css	etag:W/%22dc93d584e41f8417f6b7163320d34329%22	https://use.fontawesome.com/releases/v5.6.3/css/all.css	C:/My%20Web%20Sites/scoop/use.fontawesome.com/releases/v5.6.3/css/all.css	(from https://scoop-home.netlify.app/)
18:06:20	121427/121427	---MCZ	200	added ('OK')	text/css	etag:%228e25567288966ac8fe2a9ff80bb35d73-ssl-df%22	https://scoop-home.netlify.app/assets/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/scoop/scoop-home.netlify.app/assets/bootstrap/css/bootstrap.min.css	(from https://scoop-home.netlify.app/)
18:06:21	97166/97166	---MCZ	200	added ('OK')	application/javascript	etag:%225193685699d15ffe4a21d5e3c8ee411b-ssl-df%22	https://scoop-home.netlify.app/assets/js/jquery-1.12.4.min.js	C:/My%20Web%20Sites/scoop/scoop-home.netlify.app/assets/js/jquery-1.12.4.min.js	(from https://scoop-home.netlify.app/)
18:06:21	39680/39680	---MCZ	200	added ('OK')	application/javascript	etag:%223b6d386b9524119065f977445508afcf-ssl-df%22	https://scoop-home.netlify.app/assets/bootstrap/js/bootstrap.min.js	C:/My%20Web%20Sites/scoop/scoop-home.netlify.app/assets/bootstrap/js/bootstrap.min.js	(from https://scoop-home.netlify.app/)
18:06:22	69579/69579	---MCZ	200	added ('OK')	application/javascript	etag:%22ebfb038ea010358564831d5699b3a1e6-ssl-df%22	https://scoop-home.netlify.app/assets/js/sweetalert2.all.min.js	C:/My%20Web%20Sites/scoop/scoop-home.netlify.app/assets/js/sweetalert2.all.min.js	(from https://scoop-home.netlify.app/)
18:06:22	356/356	---M--	200	added ('OK')	image/png	etag:%22a8c786f78a1078cb54d095d824ebb3ad-ssl%22	https://scoop-home.netlify.app/assets/images/call-icon.png	C:/My%20Web%20Sites/scoop/scoop-home.netlify.app/assets/images/call-icon.png	(from https://scoop-home.netlify.app/)
18:06:23	8251/8251	---M--	200	added ('OK')	image/png	etag:%227c20227b550a758011edaeb47541c5ff-ssl%22	https://scoop-home.netlify.app/assets/images/Header-Logo.png	C:/My%20Web%20Sites/scoop/scoop-home.netlify.app/assets/images/Header-Logo.png	(from https://scoop-home.netlify.app/)
18:06:23	20949/20949	---M--	200	added ('OK')	image/png	etag:%22bb7a8f5f1fdb4a6b18f2ba12dc01277c-ssl%22	https://scoop-home.netlify.app/assets/images/google-business-show-hover.png	C:/My%20Web%20Sites/scoop/scoop-home.netlify.app/assets/images/google-business-show-hover.png	(from https://scoop-home.netlify.app/)
